title,releaseDate,productionCompany
Ennemis intérieurs,2016-02-05,Qualia Films
Silent Nights,2017-02-07,M&M Productions
Piper,2016-06-17,Pixar Animation Studios
Blind Vaysha,2016-02-15,National Film Board of Canada
Borrowed Time,2015-10-31,Quorum Films
Pear Cider and Cigarettes,2016-07-01,Massive Swerve Studios
Pearl,2016-04-17,Google Spotlight Stories
Passengers,2016-12-14,Columbia Pictures
Passengers,2016-12-14,LStar Capital
Passengers,2016-12-14,Village Roadshow Pictures
Passengers,2016-12-14,Wanda Pictures
Passengers,2016-12-14,Original Film
Passengers,2016-12-14,Company Films
Passengers,2016-12-14,Start Motion Pictures
Trolls,2016-10-08,DreamWorks Animation
Deepwater Horizon,2016-09-13,Summit Entertainment
Deepwater Horizon,2016-09-13,Participant Media
Deepwater Horizon,2016-09-13,Di Bonaventura Pictures
Deepwater Horizon,2016-09-13,Closest to the Hole Productions
Deepwater Horizon,2016-09-13,Leverage Entertainment
Sully,2016-09-02,Village Roadshow Pictures
Sully,2016-09-02,Ratpac-Dune Entertainment
Sully,2016-09-02,Flashlight Films
Sully,2016-09-02,The Kennedy/Marshall Company
Sully,2016-09-02,Malpaso Productions
Sully,2016-09-02,Orange Corp
13 Hours: The Secret Soldiers of Benghazi,2016-01-12,3 Arts Entertainment
13 Hours: The Secret Soldiers of Benghazi,2016-01-12,Bay Films
Rogue One: A Star Wars Story,2016-12-10,Lucasfilm Ltd.
Fantastic Beasts and Where to Find Them,2016-11-10,Warner Bros. Pictures
Fantastic Beasts and Where to Find Them,2016-11-10,Heyday Films
"Hail, Caesar!",2016-02-01,Working Title Films
"Hail, Caesar!",2016-02-01,Mike Zoss Productions
Silence,2016-11-29,SharpSword Films
Silence,2016-11-29,AI Film
Silence,2016-11-29,CatchPlay
Silence,2016-11-29,IM Global
Silence,2016-11-29,Verdi Productions
Silence,2016-11-29,YLK
Silence,2016-11-29,Sikelia Productions
Silence,2016-11-29,Fábrica de Cine
Silence,2016-11-29,The Fyzz Facility
Silence,2016-11-29,Emmett/Furla/Oasis Films
Suicide Squad,2016-08-01,Warner Bros. Pictures
Suicide Squad,2016-08-01,RatPac-Dune Entertainment
Suicide Squad,2016-08-01,DC Films
Suicide Squad,2016-08-01,Atlas Entertainment
Star Trek Beyond,2016-07-07,Paramount Pictures
Star Trek Beyond,2016-07-07,Skydance
Star Trek Beyond,2016-07-07,Alibaba Pictures
Star Trek Beyond,2016-07-07,Huahua Media
Star Trek Beyond,2016-07-07,Bad Robot
Star Trek Beyond,2016-07-07,Sneaky Shark Productions
Star Trek Beyond,2016-07-07,Perfect Storm Entertainment
Allied,2016-11-09,Huahua Media
Allied,2016-11-09,GK Films
Allied,2016-11-09,ImageMovers
The Jungle Book,2016-04-04,Walt Disney Pictures
The Jungle Book,2016-04-04,Fairview Entertainment
Doctor Strange,2016-10-13,Marvel Studios
The Shape of Water,2017-08-31,Fox Searchlight Pictures
The Shape of Water,2017-08-31,TSG Entertainment
The Shape of Water,2017-08-31,Double Dare You Productions
Call Me by Your Name,2017-01-22,Frenesy Film Company
Call Me by Your Name,2017-01-22,La Cinéfacture
Call Me by Your Name,2017-01-22,RT Features
Call Me by Your Name,2017-01-22,M.Y.R.A. Entertainment
Call Me by Your Name,2017-01-22,Water's End Productions
Darkest Hour,2017-09-01,Perfect World Pictures
Darkest Hour,2017-09-01,Working Title Films
Dunkirk,2017-07-13,Syncopy Inc.
Dunkirk,2017-07-13,RatPac-Dune Entertainment
Get Out,2017-01-23,Blumhouse Productions
Get Out,2017-01-23,QC Entertainment
Get Out,2017-01-23,Monkeypaw Productions
Lady Bird,2017-09-01,IAC Films
Lady Bird,2017-09-01,Scott Rudin Productions
Lady Bird,2017-09-01,Management 360
Phantom Thread,2017-12-11,Focus Features
Phantom Thread,2017-12-11,Annapurna Pictures
Phantom Thread,2017-12-11,Ghoulardi Film Company
Phantom Thread,2017-12-11,Perfect World Pictures
The Post,2017-12-14,20th Century Fox
The Post,2017-12-14,DreamWorks Pictures
The Post,2017-12-14,Participant Media
The Post,2017-12-14,Amblin Partners
The Post,2017-12-14,Amblin Entertainment
The Post,2017-12-14,Pascal Pictures
The Post,2017-12-14,Star Thrower Entertainment
"Three Billboards Outside Ebbing, Missouri",2017-09-04,Film4 Productions
"Three Billboards Outside Ebbing, Missouri",2017-09-04,Blueprint Pictures
"Roman J. Israel, Esq.",2017-09-10,Columbia Pictures
"Roman J. Israel, Esq.",2017-09-10,Macro Media
"Roman J. Israel, Esq.",2017-09-10,Topic Studios
"Roman J. Israel, Esq.",2017-09-10,Cross Creek Pictures
"Roman J. Israel, Esq.",2017-09-10,Bron Creative
"Roman J. Israel, Esq.",2017-09-10,The Culture China/Image Nation Abu Dhabi Content Fund
"Roman J. Israel, Esq.",2017-09-10,Escape Artists
"I, Tonya",2017-09-08,LuckyChap Entertainment
"I, Tonya",2017-09-08,beIN Media Group
"I, Tonya",2017-09-08,Clubhouse Pictures
"I, Tonya",2017-09-08,AI Film
The Florida Project,2017-05-22,Cre Film
The Florida Project,2017-05-22,Freestyle Picture Company
The Florida Project,2017-05-22,Cinereach
The Florida Project,2017-05-22,June Pictures
All the Money in the World,2017-12-18,TriStar Pictures
All the Money in the World,2017-12-18,Imperative Entertainment
All the Money in the World,2017-12-18,Scott Free Productions
All the Money in the World,2017-12-18,RedRum Films
Mudbound,2017-01-21,Elevated Films
Mudbound,2017-01-21,Joule Films
The Big Sick,2017-01-20,FilmNation Entertainment
The Big Sick,2017-01-20,Apatow Productions
The Disaster Artist,2017-03-12,New Line Cinema
The Disaster Artist,2017-03-12,Good Universe
The Disaster Artist,2017-03-12,Point Grey Pictures
The Disaster Artist,2017-03-12,Rabbit Bandini Productions
Logan,2017-02-17,20th Century Fox
Logan,2017-02-17,Marvel Entertainment
Logan,2017-02-17,Kinberg Genre
Logan,2017-02-17,Hutch Parker Productions
Logan,2017-02-17,The Donners' Company
Logan,2017-02-17,TSG Entertainment
Molly's Game,2017-09-08,STXfilms
Molly's Game,2017-09-08,H. Brothers
Molly's Game,2017-09-08,TMP
Molly's Game,2017-09-08,The MG Company
Coco,2017-10-20,Pixar Animation Studios
The Boss Baby,2017-03-12,DreamWorks Animation
The Breadwinner,2017-09-08,Cartoon Saloon
The Breadwinner,2017-09-08,Aircraft Pictures
The Breadwinner,2017-09-08,Guru Studio Sony Pictures Releasing
The Breadwinner,2017-09-08,Jolie Pas
The Breadwinner,2017-09-08,Melusine Productions
Ferdinand,2017-12-10,Blue Sky Studios
Ferdinand,2017-12-10,20th Century Fox Animation
Ferdinand,2017-12-10,Davis Entertainment
Loving Vincent,2017-06-12,BreakThru Films
Loving Vincent,2017-06-12,Trademark Films
A Fantastic Woman,2017-02-12,Fabula
A Fantastic Woman,2017-02-12,Komplizen Film
The Insult,2017-08-31,Ezekiel Films
The Insult,2017-08-31,Tessalit Productions
The Insult,2017-08-31,Rouge International
Loveless,2017-05-18,Arte France Cinéma
Loveless,2017-05-18,Why Not Productions
Loveless,2017-05-18,Les Films du Fleuve
The Square,2017-05-20,Plattform Produktion
The Square,2017-05-20,Film i Väst
The Square,2017-05-20,Essential Films
The Square,2017-05-20,Parisienne
The Square,2017-05-20,Coproduction Office
The Square,2017-05-20,Sveriges Television
The Square,2017-05-20,Imperative Entertainment
The Square,2017-05-20,Arte France Cinéma
The Square,2017-05-20,ZDF
The Square,2017-05-20,Arte
The Square,2017-05-20,Svenska Filminstitutet
The Square,2017-05-20,Council of Europe – Eurimages
The Square,2017-05-20,Medienboard Berlin-Brandenburg
The Square,2017-05-20,Nordisk Film & TV Fond
The Square,2017-05-20,Det Danske Filminstitut – Minorordningen
The Square,2017-05-20,Alamode Filmverleih
The Square,2017-05-20,TriArt Distribution
The Square,2017-05-20,DR
Icarus,2017-01-20,Alex Productions
Icarus,2017-01-20,Diamond Docs
Icarus,2017-01-20,Impact Partners
Abacus: Small Enough to Jail,2016-09-11,Mitten Media Motto Pictures Kartemquin Films Production
Faces Places,2017-05-19,Ciné Tamaris
Faces Places,2017-05-19,Social Animals
Faces Places,2017-05-19,Rouge International
Faces Places,2017-05-19,Arte France Cinema
Faces Places,2017-05-19,Arches Films
Strong Island,2017-01-23,Yanceville Films Louverture Films
Edith+Eddie,2017-03-02,"Heart is Red, LLC. Kartemquin Films"
Traffic Stop,2017-11-14,Q-Ball Productions
The Silent Child,2017-08-08,Slick Films
DeKalb Elementary,2017-02-04,Off Road Pictures
The Eleven O'Clock,2016-09-06,FINCH
Watu Wote,1999-09-19,Hamburg Media School
Dear Basketball,2017-04-23,Granity Studios
Dear Basketball,2017-04-23,Believe Entertainment Group
Dear Basketball,2017-04-23,Glen Keane Productions
Garden Party,2017-01-28,MoPA
LOU,2017-03-12,Pixar Animation Studios
Negative Space,2017-06-13,Tiny Inventions
Star Wars: The Last Jedi,2017-12-09,Lucasfilm Ltd.
Marshall,2017-09-20,Starlight Media
Marshall,2017-09-20,Chestnut Ridge Productions
Marshall,2017-09-20,Hudlin Entertainment
The Greatest Showman,2017-12-08,TSG Entertainment
The Greatest Showman,2017-12-08,Laurence Mark Productions
The Greatest Showman,2017-12-08,Chernin Entertainment
Baby Driver,2017-03-11,TriStar Pictures
Baby Driver,2017-03-11,MRC
Baby Driver,2017-03-11,Big Talk Productions
Baby Driver,2017-03-11,Working Title Films
Blade Runner 2049,2017-10-03,Alcon Entertainment
Blade Runner 2049,2017-10-03,Columbia Pictures
Blade Runner 2049,2017-10-03,Scott Free Productions
Blade Runner 2049,2017-10-03,Bud Yorkin Productions
Blade Runner 2049,2017-10-03,Torridon Films
Blade Runner 2049,2017-10-03,16:14 Entertainment
Beauty and the Beast,2017-02-23,Walt Disney Pictures
Beauty and the Beast,2017-02-23,Mandeville Films
Victoria & Abdul,2017-09-03,Focus Features
Victoria & Abdul,2017-09-03,BBC Films
Victoria & Abdul,2017-09-03,Perfect World Pictures
Victoria & Abdul,2017-09-03,Working Title Films
Victoria & Abdul,2017-09-03,Cross Street Films
Wonder,2017-11-14,Lionsgate
Wonder,2017-11-14,Mandeville Films
Wonder,2017-11-14,Participant Media
Wonder,2017-11-14,Walden Media
Wonder,2017-11-14,TIK Films
Guardians of the Galaxy Vol. 2,2017-04-10,Marvel Studios
Kong: Skull Island,2017-02-28,Legendary Pictures Tencent Pictures
War for the Planet of the Apes,2017-07-10,20th Century Fox
War for the Planet of the Apes,2017-07-10,TSG Entertainment
War for the Planet of the Apes,2017-07-10,Chernin Entertainment
Green Book,2018-09-11,Participant Media
Green Book,2018-09-11,DreamWorks Pictures
Green Book,2018-09-11,Innisfree Pictures
Green Book,2018-09-11,Cinetic Media
Green Book,2018-09-11,Alibaba Pictures
Black Panther,2018-01-29,Marvel Studios
BlacKkKlansman,2018-05-14,Blumhouse Productions
BlacKkKlansman,2018-05-14,Monkeypaw Productions
BlacKkKlansman,2018-05-14,QC Entertainment
BlacKkKlansman,2018-05-14,40 Acres and a Mule Filmworks
BlacKkKlansman,2018-05-14,Legendary Entertainment
BlacKkKlansman,2018-05-14,Perfect World Pictures
Bohemian Rhapsody,2018-10-23,20th Century Fox
Bohemian Rhapsody,2018-10-23,Regency Enterprises
Bohemian Rhapsody,2018-10-23,GK Films
Bohemian Rhapsody,2018-10-23,Queen Films
The Favourite,2018-08-30,Scarlet Films
The Favourite,2018-08-30,Element Pictures
The Favourite,2018-08-30,Arcana
The Favourite,2018-08-30,Film4
The Favourite,2018-08-30,Waypoint Entertainment
Roma,2018-08-30,Espectáculos Fílmicos El Coyúl
Roma,2018-08-30,Pimienta Films
Roma,2018-08-30,Participant Media
Roma,2018-08-30,Esperanto-Filmoj
A Star Is Born,2018-08-31,Metro-Goldwyn-Mayer Pictures
A Star Is Born,2018-08-31,Live Nation Productions
A Star Is Born,2018-08-31,Gerber Pictures
A Star Is Born,2018-08-31,Peters Entertainment
A Star Is Born,2018-08-31,Joint Effort
Vice,2018-12-11,Annapurna Pictures
Vice,2018-12-11,Plan B Entertainment
Vice,2018-12-11,Gary Sanchez Productions
Cold War,2018-05-10,Opus Film
Cold War,2018-05-10,Polish Film Institute
Cold War,2018-05-10,mk2 Films
Cold War,2018-05-10,Film4
Cold War,2018-05-10,BFI
Cold War,2018-05-10,Protagonist Pictures
Cold War,2018-05-10,Apocalypso Pictures
Cold War,2018-05-10,MK Productions
At Eternity's Gate,2018-09-03,Riverstone Pictures
At Eternity's Gate,2018-09-03,SPK Pictures
At Eternity's Gate,2018-09-03,Rocket Science
At Eternity's Gate,2018-09-03,Rahway Road
At Eternity's Gate,2018-09-03,Iconoclast
The Wife,2017-09-12,Silver Reel
The Wife,2017-09-12,Meta Film London
The Wife,2017-09-12,Anonymous Content
The Wife,2017-09-12,Tempo Productions
The Wife,2017-09-12,Embankment Films
The Wife,2017-09-12,Creative Scotland
The Wife,2017-09-12,Spark Film and Television
The Wife,2017-09-12,Film i Väst
Can You Ever Forgive Me?,2018-09-01,TSG Entertainment
Can You Ever Forgive Me?,2018-09-01,Archer Gray Productions
If Beale Street Could Talk,2018-09-09,Annapurna Pictures
If Beale Street Could Talk,2018-09-09,Plan B Entertainment
If Beale Street Could Talk,2018-09-09,Pastel Productions
First Reformed,2017-08-31,Killer Films
First Reformed,2017-08-31,Omeira Studio Partners
First Reformed,2017-08-31,Fibonacci Films
First Reformed,2017-08-31,Arclight Films International
First Reformed,2017-08-31,Big Indie Pictures
The Ballad of Buster Scruggs,2018-08-31,Annapurna Pictures
The Ballad of Buster Scruggs,2018-08-31,Mike Zoss Productions
Spider-Man: Into the Spider-Verse,2018-12-01,Columbia Pictures
Spider-Man: Into the Spider-Verse,2018-12-01,Marvel Entertainment
Spider-Man: Into the Spider-Verse,2018-12-01,Sony Pictures Animation
Spider-Man: Into the Spider-Verse,2018-12-01,Pascal Pictures
Spider-Man: Into the Spider-Verse,2018-12-01,Arad Productions
Spider-Man: Into the Spider-Verse,2018-12-01,Lord Miller Productions
Incredibles 2,2018-06-05,Pixar Animation Studios
Isle of Dogs,2018-02-15,Indian Paintbrush
Isle of Dogs,2018-02-15,American Empirical Pictures
Isle of Dogs,2018-02-15,Scott Rudin Productions
Isle of Dogs,2018-02-15,Studio Babelsberg
Isle of Dogs,2018-02-15,3 Mills Studios
Mirai,2018-05-16,Studio Chizu
Ralph Breaks the Internet,2018-11-05,Walt Disney Animation Studios
Capernaum,2018-05-17,Mooz Films
Never Look Away,2018-09-04,Wiedemann & Berg Film Production
Shoplifters,2018-05-15,"Fuji TV AOI Pro, Inc."
Free Solo,2018-08-31,National Geographic Documentary Films
Free Solo,2018-08-31,Parkes+MacDonald Image Nation
Free Solo,2018-08-31,Little Monster Films
Free Solo,2018-08-31,Itinerant Media
Minding the Gap,2018-01-21,Kartemquin Films
Minding the Gap,2018-01-21,American Documentary/ POV
Minding the Gap,2018-01-21,ITVS
RBG,2018-01-21,Participant Media
RBG,2018-01-21,CNN Films
RBG,2018-01-21,Storyville Films
Period. End of Sentence.,2018-04-05,The PAD Project Action India Girls Learn International The Feminist Majority Foundation Oakwood Sch
Black Sheep,2018-05-01,Lightbox Entertainment
End Game,2018-01-21,Telling Pictures
Lifeboat,2018-08-01,Spin Film
Lifeboat,2018-08-01,RYOT Films
A Night at the Garden,1999-09-19,Marshall Curry Productions LLC First Look Media
Skin,2018-08-23,New Native Pictures Studio Mao
Detainment,1999-09-19,Twelve Media
Fauve,2018-01-19,Achromatic Media Midi la Nuit
Marguerite,2017-11-12,DIY Films Les Films de L'Hydre
Mother,2017-03-17,Apache Films Caballo Films Malvalanda
Bao,2018-04-21,Pixar Animation Studios
Animal Behaviour,2018-06-11,National Film Board of Canada
Late Afternoon,2017-07-15,Cartoon Saloon
One Small Step,2018-06-25,Taiko Studios
Weekends,2017-10-18,Past Lives Productions
Mary Poppins Returns,2018-11-29,Walt Disney Pictures
Mary Poppins Returns,2018-11-29,Lucamar Productions
Mary Poppins Returns,2018-11-29,Marc Platt Productions
First Man,2018-08-29,DreamWorks Pictures
First Man,2018-08-29,Perfect World Pictures
First Man,2018-08-29,Temple Hill Entertainment
A Quiet Place,2018-03-09,Platinum Dunes
A Quiet Place,2018-03-09,Sunday Night Productions
Border,2018-05-10,META Film
Border,2018-05-10,Black Spark Film & TV
Border,2018-05-10,Karnfilm
Mary Queen of Scots,2018-11-15,Perfect World Pictures
Mary Queen of Scots,2018-11-15,Working Title Films
Avengers: Infinity War,2018-04-23,Marvel Studios
Christopher Robin,2018-07-30,Walt Disney Pictures
Christopher Robin,2018-07-30,2DUX² Productions
Ready Player One,2018-03-11,Warner Bros. Pictures
Ready Player One,2018-03-11,Amblin Partners
Ready Player One,2018-03-11,Amblin Entertainment
Ready Player One,2018-03-11,De Line Pictures
Solo: A Star Wars Story,2018-05-10,Lucasfilm Ltd.
Parasite,2019-05-21,Barunson E&A
Ford v Ferrari,2019-08-30,Chernin Entertainment
Ford v Ferrari,2019-08-30,TSG Entertainment
Ford v Ferrari,2019-08-30,Turnpike Films
The Irishman,2019-09-27,Tribeca Productions
The Irishman,2019-09-27,Sikelia Productions
The Irishman,2019-09-27,Winkler Films
Jojo Rabbit,2019-09-08,Fox Searchlight Pictures
Jojo Rabbit,2019-09-08,TSG Entertainment
Jojo Rabbit,2019-09-08,Defender Films
Jojo Rabbit,2019-09-08,Piki Films
Joker,2019-08-31,Warner Bros. Pictures
Joker,2019-08-31,DC Films
Joker,2019-08-31,Village Roadshow Pictures
Joker,2019-08-31,Bron Creative
Joker,2019-08-31,Joint Effort
Little Women,2019-12-07,Columbia Pictures
Little Women,2019-12-07,Regency Enterprises
Little Women,2019-12-07,Pascal Pictures
Marriage Story,2019-08-29,Heyday Films
1917,2019-12-04,DreamWorks Pictures
1917,2019-12-04,Reliance Entertainment
1917,2019-12-04,New Republic Pictures
1917,2019-12-04,Mogambo
1917,2019-12-04,Neal Street Productions
1917,2019-12-04,Amblin Partners
Once Upon a Time...in Hollywood,2019-05-21,Columbia Pictures
Once Upon a Time...in Hollywood,2019-05-21,Bona Film Group
Once Upon a Time...in Hollywood,2019-05-21,Heyday Films
Once Upon a Time...in Hollywood,2019-05-21,Visiona Romantica
Pain and Glory,2019-03-13,El Deseo
The Two Popes,2019-08-31,Rideback
Judy,2019-08-30,Pathé
Judy,2019-08-30,BBC Films
Judy,2019-08-30,Ingenious Media
Judy,2019-08-30,Calamity Films
Harriet,2019-09-10,Perfect World Pictures
Harriet,2019-09-10,New Balloon
Harriet,2019-09-10,Stay Gold Features
Bombshell,2019-12-13,Bron Studios
Bombshell,2019-12-13,Annapurna Pictures
Bombshell,2019-12-13,Denver and Delilah Productions
Bombshell,2019-12-13,Gramsci
Bombshell,2019-12-13,Lighthouse Management & Media
Bombshell,2019-12-13,Creative Wealth Media
A Beautiful Day in the Neighborhood,2019-09-07,TriStar Pictures
A Beautiful Day in the Neighborhood,2019-09-07,Tencent Pictures
A Beautiful Day in the Neighborhood,2019-09-07,Big Beach
A Beautiful Day in the Neighborhood,2019-09-07,Youree Henley Productions
A Beautiful Day in the Neighborhood,2019-09-07,Fred Rogers Productions (uncredited)
Richard Jewell,2019-11-20,Malpaso Productions
Richard Jewell,2019-11-20,Appian Way Productions
Richard Jewell,2019-11-20,Misher Films
Richard Jewell,2019-11-20,75 Year Plan Productions
Knives Out,2019-09-07,MRC
Knives Out,2019-09-07,T-Street Productions
Knives Out,2019-09-07,Ram Bergman Productions
Toy Story 4,2019-06-11,Pixar Animation Studios
How to Train Your Dragon:The Hidden World,2019-01-03,DreamWorks Animation
I Lost My Body,2019-05-17,Xilam Animation
Klaus,2019-11-08,Netflix Animation
Klaus,2019-11-08,The SPA Studios
Klaus,2019-11-08,Atresmedia Cine
Missing Link,2019-04-05,Laika
Corpus Christi,2019-09-02,Aurum Film
Corpus Christi,2019-09-02,Canal+ Polska
Corpus Christi,2019-09-02,WFS Walter Film Studio
Corpus Christi,2019-09-02,Podkarpacki Regionalny Fundusz Filmowy
Corpus Christi,2019-09-02,Les Contes Modernes
Honeyland,2019-01-28,Trice Films
Honeyland,2019-01-28,Apolo Media
Les Misérables,2019-05-15,SRAB Films
Les Misérables,2019-05-15,Rectangle Productions
Les Misérables,2019-05-15,Lyly Films
Les Misérables,2019-05-15,Canal+
Les Misérables,2019-05-15,Ciné+
Les Misérables,2019-05-15,Arte
Les Misérables,2019-05-15,Wild Bunch
Les Misérables,2019-05-15,CNC
American Factory,2019-01-25,Higher Ground Productions
American Factory,2019-01-25,Participant Media
The Cave,2019-09-05,Danish Documentary Production Hecat Studio
The Edge of Democracy,2019-01-24,Busca Vida Filmes
For Sama,2019-03-11,PBS Frontline Channel 4 News ITN Productions
In the Absence,1999-09-19,416 Documenting Group Field of Vision (II) First Look Media Korea Communications Agency
St. Louis Superman,2019-02-20,MTV Studios Meralta Films AJE Witness ALJAZEERA
Brotherhood,2018-09-07,Cinétéléfilms Midi la Nuit
Nefta Football Club,2018-10-24,Les Valseurs
A Sister,2018-10-01,Versus Production
Hair Love,2019-08-14,Sony Pictures Animation
Hair Love,2019-08-14,Matthew A. Cherry Entertainment
Hair Love,2019-08-14,Lion Forge Animation
Hair Love,2019-08-14,6 Point Harness
Daughter,2019-06-12,"FAMU - Film and TV School of the Academy of Performing Arts in Prague , MAUR film"
Kitbull,2019-01-18,Pixar Animation Studios
Sister,2018-06-15,CalArts
Star Wars: The Rise of Skywalker,2019-12-16,Lucasfilm Ltd.
Star Wars: The Rise of Skywalker,2019-12-16,Bad Robot
Rocketman,2019-05-16,New Republic Pictures
Rocketman,2019-05-16,Marv Films
Rocketman,2019-05-16,Rocket Pictures
Breakthrough,2019-03-20,Fox 2000 Pictures
Breakthrough,2019-03-20,Franklin Entertainment
Breakthrough,2019-03-20,Unanimous Media
Breakthrough,2019-03-20,TSG Entertainment
Frozen 2,2019-11-07,Walt Disney Animation Studios
Ad Astra,2019-08-29,Regency Enterprises
Ad Astra,2019-08-29,New Regency
Ad Astra,2019-08-29,Plan B Entertainment
Ad Astra,2019-08-29,Keep Your Head Productions
Ad Astra,2019-08-29,RT Features
Ad Astra,2019-08-29,MadRiver Pictures
The Lighthouse,2019-05-19,A24
The Lighthouse,2019-05-19,Regency Enterprises
The Lighthouse,2019-05-19,RT Features
The Lighthouse,2019-05-19,Parts & Labor
Maleficent: Mistress of Evil,2019-09-30,Walt Disney Pictures
Maleficent: Mistress of Evil,2019-09-30,Roth/Kirschenbaum Films
Avengers: Endgame,2019-04-22,Marvel Studios
The Lion King,2019-07-09,Walt Disney Pictures
The Lion King,2019-07-09,Fairview Entertainment
Nomadland,2020-09-11,Highwayman
Nomadland,2020-09-11,Hear/Say Productions
Nomadland,2020-09-11,Cor Cordium Productions
The Father,2020-01-27,F comme Film
The Father,2020-01-27,Trademark Films
The Father,2020-01-27,Ciné-@
The Father,2020-01-27,AG Studios
The Father,2020-01-27,Les Films du Cru
The Father,2020-01-27,Film4
The Father,2020-01-27,Orange Studio
The Father,2020-01-27,Canal+
The Father,2020-01-27,Ciné+
Judas and the Black Messiah,2021-02-01,MACRO
Judas and the Black Messiah,2021-02-01,Participant
Judas and the Black Messiah,2021-02-01,Bron Creative
Judas and the Black Messiah,2021-02-01,Proximity Media
Mank,2020-11-13,Netflix International Pictures
Mank,2020-11-13,Flying Studio Pictures
Mank,2020-11-13,Panic Pictures
Mank,2020-11-13,Blue Light
Minari,2020-01-26,Plan B
Promising Young Woman,2020-01-25,LuckyChap Entertainment
Sound of Metal,2019-09-06,Caviar
Sound of Metal,2019-09-06,Ward Four
Sound of Metal,2019-09-06,Flat 7 Productions
The Trial of the Chicago 7,2020-09-25,Paramount Pictures
The Trial of the Chicago 7,2020-09-25,Cross Creek Pictures
The Trial of the Chicago 7,2020-09-25,DreamWorks Pictures
The Trial of the Chicago 7,2020-09-25,Marc Platt Productions
The Trial of the Chicago 7,2020-09-25,ShivHans Pictures
Another Round,2020-09-12,Zentropa Entertainments
Another Round,2020-09-12,Film i Väst
Another Round,2020-09-12,Zentropa Sweden
Another Round,2020-09-12,Topkapi Films
Another Round,2020-09-12,Zentropa Netherlands
Ma Rainey's Black Bottom,2020-11-25,Escape Artists
Ma Rainey's Black Bottom,2020-11-25,Mundy Lane Entertainment
The United States vs. Billie Holiday,2021-02-26,Lee Daniels Entertainment
The United States vs. Billie Holiday,2021-02-26,New Slate Ventures
The United States vs. Billie Holiday,2021-02-26,Roth/Kirschenbaum Films
Pieces of a Woman,2020-09-04,Little Lamb
Pieces of a Woman,2020-09-04,Bron Studios
Pieces of a Woman,2020-09-04,Proton Cinema
Pieces of a Woman,2020-09-04,Creative Wealth Media
One Night in Miami...,2020-09-07,ABKCO
One Night in Miami...,2020-09-07,Snoot Entertainment
One Night in Miami...,2020-09-07,Royal Ties Productions
One Night in Miami...,2020-09-07,Germano Studios
One Night in Miami...,2020-09-07,Hit Factory
One Night in Miami...,2020-09-07,Capital Studios
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020-10-23,Four by Two Films Amazon Studios
Hillbilly Elegy,2020-11-11,Imagine Entertainment
The White Tiger,2021-01-06,Lava Media
The White Tiger,2021-01-06,ARRAY
The White Tiger,2021-01-06,Noruz Films
The White Tiger,2021-01-06,Purple Pebble Pictures
Soul,2020-10-11,Pixar Animation Studios
Onward,2020-02-21,Pixar Animation Studios
Over the Moon,2020-10-17,Netflix Animation
Over the Moon,2020-10-17,Pearl Studio
Over the Moon,2020-10-17,Sony Pictures Imageworks
Over the Moon,2020-10-17,Glen Keane Productions
A Shaun the Sheep Movie: Farmageddon,2019-09-22,StudioCanal Aardman Animations Anton Capital Entertainment
Wolfwalkers,2020-09-12,Cartoon Saloon
Wolfwalkers,2020-09-12,Mélusine
Better Days,2019-10-25,Henan Film Group
Better Days,2019-10-25,China Wit Media
Better Days,2019-10-25,Tianijn Xiron Entertainment
Better Days,2019-10-25,We Pictures
Better Days,2019-10-25,Shooting Pictures
Collective,2019-09-04,Alexander Nanau Production
Collective,2019-09-04,Samsa Film Luxembourg
Collective,2019-09-04,HBO Europe
Collective,2019-09-04,Mitteldeutscher Rundfunk
Collective,2019-09-04,Radio Télévision Suisse
Collective,2019-09-04,Radiotelevisione svizzera
Collective,2019-09-04,YES Docu
The Man Who Sold His Skin,2020-09-04,Cinétéléfilms
The Man Who Sold His Skin,2020-09-04,Tanit Films
The Man Who Sold His Skin,2020-09-04,Twenty Twenty Vision
The Man Who Sold His Skin,2020-09-04,Kwassa Films
The Man Who Sold His Skin,2020-09-04,Laika Film & Television
The Man Who Sold His Skin,2020-09-04,Metafora Media Production
The Man Who Sold His Skin,2020-09-04,Sunnyland Film
The Man Who Sold His Skin,2020-09-04,Film i Väst
The Man Who Sold His Skin,2020-09-04,VOO
The Man Who Sold His Skin,2020-09-04,BeTV
The Man Who Sold His Skin,2020-09-04,Istiqlal Films
"Quo Vadis, Aida?",2020-09-03,Deblokada Film
"Quo Vadis, Aida?",2020-09-03,Digital Cube
"Quo Vadis, Aida?",2020-09-03,Coop99 Filmproduktion
"Quo Vadis, Aida?",2020-09-03,N279 Entertainment
"Quo Vadis, Aida?",2020-09-03,Razor Filmproduktion
"Quo Vadis, Aida?",2020-09-03,Extreme Emotions
"Quo Vadis, Aida?",2020-09-03,Indie Prod
"Quo Vadis, Aida?",2020-09-03,Tordenfilm
"Quo Vadis, Aida?",2020-09-03,TRT
My Octopus Teacher,2020-09-04,Off The Fence The Sea Change Project
Crip Camp,2020-01-23,Higher Ground Productions
Crip Camp,2020-01-23,Rusted Spoke
Crip Camp,2020-01-23,Little Punk
Crip Camp,2020-01-23,Just Films
Crip Camp,2020-01-23,Ford Foundation
The Mole Agent,2020-01-25,Tribeca Film Institute
