title,releaseDate,productionCompany
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
"Precious: Based on the Novel ""Push"" by Sapphire",2009-01-15,Lee Daniels Entertainment Smokewood Entertainment
Up in the Air,2009-09-05,The Montecito Picture Company
Up in the Air,2009-09-05,Cold Spring Pictures
Up in the Air,2009-09-05,DW Studios
Up in the Air,2009-09-05,Rickshaw Productions
Up in the Air,2009-09-05,Right of Way Films
Crazy Heart,2009-12-06,Informant Media
Crazy Heart,2009-12-06,Butcher's Run Films
Crazy Heart,2009-12-06,Dune Entertainment
Up in the Air,2009-09-05,The Montecito Picture Company
Up in the Air,2009-09-05,Cold Spring Pictures
Up in the Air,2009-09-05,DW Studios
Up in the Air,2009-09-05,Rickshaw Productions
Up in the Air,2009-09-05,Right of Way Films
A Single Man,2009-09-11,Artina Films
A Single Man,2009-09-11,Depth of Field
A Single Man,2009-09-11,Fade to Black
Invictus,2009-12-11,Revelations Entertainment
Invictus,2009-12-11,Mace Neufeld Productions
Invictus,2009-12-11,Malpaso Productions
Invictus,2009-12-11,Liberty Pictures
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
The Blind Side,2009-11-20,Alcon Entertainment
The Last Station,2009-12-23,Egoli Tossell Film
The Last Station,2009-12-23,Zephyr Films
The Last Station,2009-12-23,The Andrei Konchalovsky Production Center
The Last Station,2009-12-23,SamFilm
An Education,2009-01-18,Endgame Entertainment
An Education,2009-01-18,BBC Films
An Education,2009-01-18,Wildgaze Films
An Education,2009-01-18,Finola Dwyer Productions
An Education,2009-01-18,Mittal Productions
"Precious: Based on the Novel ""Push"" by Sapphire",2009-01-15,Lee Daniels Entertainment Smokewood Entertainment
Julie & Julia,2009-08-07,Columbia Pictures
Julie & Julia,2009-08-07,Easy There Tiger Productions
Julie & Julia,2009-08-07,Laurence Mark Productions
Inglourious Basterds,2009-05-20,The Weinstein Company
Inglourious Basterds,2009-05-20,Universal Pictures
Inglourious Basterds,2009-05-20,A Band Apart
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
Invictus,2009-12-11,Revelations Entertainment
Invictus,2009-12-11,Mace Neufeld Productions
Invictus,2009-12-11,Malpaso Productions
Invictus,2009-12-11,Liberty Pictures
The Last Station,2009-12-23,Egoli Tossell Film
The Last Station,2009-12-23,Zephyr Films
The Last Station,2009-12-23,The Andrei Konchalovsky Production Center
The Last Station,2009-12-23,SamFilm
The Lovely Bones,2009-11-24,DreamWorks Pictures
The Lovely Bones,2009-11-24,Film4
The Lovely Bones,2009-11-24,WingNut Films
"Precious: Based on the Novel ""Push"" by Sapphire",2009-01-15,Lee Daniels Entertainment Smokewood Entertainment
Nine,2009-12-09,Relativity Media
Nine,2009-12-09,Lucamar Productions
Up in the Air,2009-09-05,The Montecito Picture Company
Up in the Air,2009-09-05,Cold Spring Pictures
Up in the Air,2009-09-05,DW Studios
Up in the Air,2009-09-05,Rickshaw Productions
Up in the Air,2009-09-05,Right of Way Films
Crazy Heart,2009-12-06,Informant Media
Crazy Heart,2009-12-06,Butcher's Run Films
Crazy Heart,2009-12-06,Dune Entertainment
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
Inglourious Basterds,2009-05-20,The Weinstein Company
Inglourious Basterds,2009-05-20,Universal Pictures
Inglourious Basterds,2009-05-20,A Band Apart
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
A Serious Man,2009-10-02,StudioCanal
A Serious Man,2009-10-02,Relativity Media
A Serious Man,2009-10-02,Working Title
A Serious Man,2009-10-02,Mike Zoss Productions
Up,2009-05-13,Pixar Animation Studios
"Precious: Based on the Novel ""Push"" by Sapphire",2009-01-15,Lee Daniels Entertainment Smokewood Entertainment
District 9,2009-07-23,TriStar Pictures
District 9,2009-07-23,QED International
District 9,2009-07-23,WingNut Films
An Education,2009-01-18,Endgame Entertainment
An Education,2009-01-18,BBC Films
An Education,2009-01-18,Wildgaze Films
An Education,2009-01-18,Finola Dwyer Productions
An Education,2009-01-18,Mittal Productions
In the Loop,2009-01-22,BBC Films UK Film Council Aramid Entertainment
Up in the Air,2009-09-05,The Montecito Picture Company
Up in the Air,2009-09-05,Cold Spring Pictures
Up in the Air,2009-09-05,DW Studios
Up in the Air,2009-09-05,Rickshaw Productions
Up in the Air,2009-09-05,Right of Way Films
Up,2009-05-13,Pixar Animation Studios
Coraline,2009-02-05,Laika
Coraline,2009-02-05,Pandemonium Films
Fantastic Mr. Fox,2009-10-14,20th Century Fox
Fantastic Mr. Fox,2009-10-14,Indian Paintbrush
Fantastic Mr. Fox,2009-10-14,Regency Enterprises
Fantastic Mr. Fox,2009-10-14,American Empirical Pictures
The Princess and the Frog,2009-11-25,Walt Disney Animation Studios
The Secret of Kells,2009-01-30,Les Armateurs
The Secret of Kells,2009-01-30,Vivi Film
The Secret of Kells,2009-01-30,Cartoon Saloon
The Secret of Kells,2009-01-30,France 2 Cinéma
The Secret in Their Eyes,2009-08-13,Haddock Films
The Secret in Their Eyes,2009-08-13,100 Bares
The Secret in Their Eyes,2009-08-13,Tornasol Films
The White Ribbon,2009-05-21,Wega Film
The White Ribbon,2009-05-21,X Filme Creative Pool
The Cove,2009-07-31,Participant Media Oceanic Preservation Society Diamond Docs Skyfish Films
"Food, Inc.",2008-09-07,Participant Media
"Food, Inc.",2008-09-07,River Road Entertainment
Which Way Home,2009-01-31,Mr. Mudd
Music by Prudence,2010-4,iThemba Productions
The New Tenants,2009-12-30,M&M Productions Park Pictures
Miracle Fish,2009-01-16,Druid Films Blue-Tongue Films Qoob
Logorama,2009-05-20,H5 Autour de Minuit Productions Little Minx Films Mikros Image
Granny O'Grimm's Sleeping Beauty,2008,Brown Bag Films
The Lady and the Reaper,2009-10,Kandor Graphics
The Lady and the Reaper,2009-10,Green Moon
Up,2009-05-13,Pixar Animation Studios
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
Fantastic Mr. Fox,2009-10-14,20th Century Fox
Fantastic Mr. Fox,2009-10-14,Indian Paintbrush
Fantastic Mr. Fox,2009-10-14,Regency Enterprises
Fantastic Mr. Fox,2009-10-14,American Empirical Pictures
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
Sherlock Holmes,2009-12-25,Silver Pictures
Sherlock Holmes,2009-12-25,Wigram Productions
Sherlock Holmes,2009-12-25,Village Roadshow Pictures
Crazy Heart,2009-12-06,Informant Media
Crazy Heart,2009-12-06,Butcher's Run Films
Crazy Heart,2009-12-06,Dune Entertainment
The Princess and the Frog,2009-11-25,Walt Disney Animation Studios
The Princess and the Frog,2009-11-25,Walt Disney Animation Studios
Paris 36,2008-09-06,France 3 Cinéma Constantin Film Canal+ TPS Star
Nine,2009-12-09,Relativity Media
Nine,2009-12-09,Lucamar Productions
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
Inglourious Basterds,2009-05-20,The Weinstein Company
Inglourious Basterds,2009-05-20,Universal Pictures
Inglourious Basterds,2009-05-20,A Band Apart
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
Star Trek,2009-04-07,Paramount Pictures
Star Trek,2009-04-07,Spyglass Entertainment
Star Trek,2009-04-07,Bad Robot
Up,2009-05-13,Pixar Animation Studios
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
Inglourious Basterds,2009-05-20,The Weinstein Company
Inglourious Basterds,2009-05-20,Universal Pictures
Inglourious Basterds,2009-05-20,A Band Apart
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
Star Trek,2009-04-07,Paramount Pictures
Star Trek,2009-04-07,Spyglass Entertainment
Star Trek,2009-04-07,Bad Robot
Transformers: Revenge of the Fallen,2009-06-08,Paramount Pictures
Transformers: Revenge of the Fallen,2009-06-08,Di Bonaventura Pictures
Transformers: Revenge of the Fallen,2009-06-08,DreamWorks Pictures
Transformers: Revenge of the Fallen,2009-06-08,Hasbro
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
The Imaginarium of Doctor Parnassus,2009-05-22,Infinity Features
The Imaginarium of Doctor Parnassus,2009-05-22,Poo Poo Pictures
The Imaginarium of Doctor Parnassus,2009-05-22,Davis Films
The Imaginarium of Doctor Parnassus,2009-05-22,Telefilm Canada
Nine,2009-12-09,Relativity Media
Nine,2009-12-09,Lucamar Productions
Sherlock Holmes,2009-12-25,Silver Pictures
Sherlock Holmes,2009-12-25,Wigram Productions
Sherlock Holmes,2009-12-25,Village Roadshow Pictures
The Young Victoria,2009-03-06,GK Films
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
Harry Potterand the Half-Blood Prince,2009-07-07,Warner Bros. Pictures
Harry Potterand the Half-Blood Prince,2009-07-07,Heyday Films
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
Inglourious Basterds,2009-05-20,The Weinstein Company
Inglourious Basterds,2009-05-20,Universal Pictures
Inglourious Basterds,2009-05-20,A Band Apart
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
The White Ribbon,2009-05-21,Wega Film
The White Ribbon,2009-05-21,X Filme Creative Pool
Star Trek,2009-04-07,Paramount Pictures
Star Trek,2009-04-07,Spyglass Entertainment
Star Trek,2009-04-07,Bad Robot
The Young Victoria,2009-03-06,GK Films
The Young Victoria,2009-03-06,GK Films
Bright Star,2009-05-15,BBC Films Screen Australia UK Film Council New South Wales Film and Television Office Hopscotch International Pathé
Coco Before Chanel,2009-04-06,Haut et Court
Coco Before Chanel,2009-04-06,Ciné@
Coco Before Chanel,2009-04-06,France 2 Cinéma
The Imaginarium of Doctor Parnassus,2009-05-22,Infinity Features
The Imaginarium of Doctor Parnassus,2009-05-22,Poo Poo Pictures
The Imaginarium of Doctor Parnassus,2009-05-22,Davis Films
The Imaginarium of Doctor Parnassus,2009-05-22,Telefilm Canada
Nine,2009-12-09,Relativity Media
Nine,2009-12-09,Lucamar Productions
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
District 9,2009-07-23,TriStar Pictures
District 9,2009-07-23,QED International
District 9,2009-07-23,WingNut Films
Inglourious Basterds,2009-05-20,The Weinstein Company
Inglourious Basterds,2009-05-20,Universal Pictures
Inglourious Basterds,2009-05-20,A Band Apart
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
"Precious: Based on the Novel ""Push"" by Sapphire",2009-01-15,Lee Daniels Entertainment Smokewood Entertainment
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
District 9,2009-07-23,TriStar Pictures
District 9,2009-07-23,QED International
District 9,2009-07-23,WingNut Films
Star Trek,2009-04-07,Paramount Pictures
Star Trek,2009-04-07,Spyglass Entertainment
Star Trek,2009-04-07,Bad Robot
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
Black Swan,2010-09-01,Cross Creek Pictures
Black Swan,2010-09-01,Protozoa Pictures
Black Swan,2010-09-01,Phoenix Pictures
Black Swan,2010-09-01,Dune Entertainment
The Fighter,2010-12-06,Relativity Media
The Fighter,2010-12-06,Mandeville Films
The Fighter,2010-12-06,The Weinstein Company
The Fighter,2010-12-06,Closest to the Hole Productions
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
The Kids Are All Right,2010-01-25,Gilbert Films Mandalay Pictures Antidote Films
127 Hours,2010-09-04,Pathé
127 Hours,2010-09-04,Everest Entertainment
127 Hours,2010-09-04,Dune Entertainment
127 Hours,2010-09-04,Film4 Productions
127 Hours,2010-09-04,HandMade Films
127 Hours,2010-09-04,Cloud Eight Films
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
Toy Story 3,2010-06-12,Pixar Animation Studios
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
Winter's Bone,2010-01-21,Anonymous Content Winter's Bone Productions
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
Black Swan,2010-09-01,Cross Creek Pictures
Black Swan,2010-09-01,Protozoa Pictures
Black Swan,2010-09-01,Phoenix Pictures
Black Swan,2010-09-01,Dune Entertainment
The Fighter,2010-12-06,Relativity Media
The Fighter,2010-12-06,Mandeville Films
The Fighter,2010-12-06,The Weinstein Company
The Fighter,2010-12-06,Closest to the Hole Productions
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
Biutiful,2010-05-17,Menage Atroz
Biutiful,2010-05-17,MOD Producciones
Biutiful,2010-05-17,Focus Features International
Biutiful,2010-05-17,Televisión Española
Biutiful,2010-05-17,Televisió de Catalunya
Biutiful,2010-05-17,ICAA Ministerio de Cultura
Biutiful,2010-05-17,Ikiru Films
Biutiful,2010-05-17,Cha Cha Cha Films (uncredited)
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
127 Hours,2010-09-04,Pathé
127 Hours,2010-09-04,Everest Entertainment
127 Hours,2010-09-04,Dune Entertainment
127 Hours,2010-09-04,Film4 Productions
127 Hours,2010-09-04,HandMade Films
127 Hours,2010-09-04,Cloud Eight Films
Black Swan,2010-09-01,Cross Creek Pictures
Black Swan,2010-09-01,Protozoa Pictures
Black Swan,2010-09-01,Phoenix Pictures
Black Swan,2010-09-01,Dune Entertainment
The Kids Are All Right,2010-01-25,Gilbert Films Mandalay Pictures Antidote Films
Rabbit Hole,2010-09-13,Olympus Pictures
Rabbit Hole,2010-09-13,Blossom Films
Rabbit Hole,2010-09-13,OddLot Entertainment
Winter's Bone,2010-01-21,Anonymous Content Winter's Bone Productions
Blue Valentine,2010-01-24,Hunting Lane Films
Blue Valentine,2010-01-24,Silverwood Films
The Fighter,2010-12-06,Relativity Media
The Fighter,2010-12-06,Mandeville Films
The Fighter,2010-12-06,The Weinstein Company
The Fighter,2010-12-06,Closest to the Hole Productions
Winter's Bone,2010-01-21,Anonymous Content Winter's Bone Productions
The Town,2010-09-08,Legendary Pictures
The Town,2010-09-08,GK Films
The Town,2010-09-08,Thunder Road Film
The Kids Are All Right,2010-01-25,Gilbert Films Mandalay Pictures Antidote Films
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
The Fighter,2010-12-06,Relativity Media
The Fighter,2010-12-06,Mandeville Films
The Fighter,2010-12-06,The Weinstein Company
The Fighter,2010-12-06,Closest to the Hole Productions
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
Animal Kingdom,2010-01-22,Screen Australia Porchlight Films Film Victoria Screen NSW Fulcrum Media Finance Showtime Australia Blue-Tongue Films
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
Another Year,2010-05-15,Film4
Another Year,2010-05-15,UK Film Council
Another Year,2010-05-15,Thin Man Films
The Fighter,2010-12-06,Relativity Media
The Fighter,2010-12-06,Mandeville Films
The Fighter,2010-12-06,The Weinstein Company
The Fighter,2010-12-06,Closest to the Hole Productions
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
The Kids Are All Right,2010-01-25,Gilbert Films Mandalay Pictures Antidote Films
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
127 Hours,2010-09-04,Pathé
127 Hours,2010-09-04,Everest Entertainment
127 Hours,2010-09-04,Dune Entertainment
127 Hours,2010-09-04,Film4 Productions
127 Hours,2010-09-04,HandMade Films
127 Hours,2010-09-04,Cloud Eight Films
Toy Story 3,2010-06-12,Pixar Animation Studios
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
Winter's Bone,2010-01-21,Anonymous Content Winter's Bone Productions
Toy Story 3,2010-06-12,Pixar Animation Studios
How to Train Your Dragon,2010-03-21,DreamWorks Animation
The Illusionist,2010-06-16,Pathé Django Films Allied Filmmakers
In a Better World,2010-08-26,Zentropa
Biutiful,2010-05-17,Menage Atroz
Biutiful,2010-05-17,MOD Producciones
Biutiful,2010-05-17,Focus Features International
Biutiful,2010-05-17,Televisión Española
Biutiful,2010-05-17,Televisió de Catalunya
Biutiful,2010-05-17,ICAA Ministerio de Cultura
Biutiful,2010-05-17,Ikiru Films
Biutiful,2010-05-17,Cha Cha Cha Films (uncredited)
Dogtooth,2009-05-18,Boo Productions
Incendies,2010-09-03,micro_scope
Outside the Law,2010-05-21,Tessalit Productions
Exit Through the Gift Shop,2010-01-24,Paranoid Pictures
Gasland,2010-01-24,International WOW Company
Waste Land,2010-01-24,Almega Projects O2 Filmes Intelligent Media
Strangers No More,2010,Simon & Goodman Picture Company
Killing in the Name,2010-07-30,Moxie Firecracker Films
Poster Girl,2010-09-03,Portrayal Films
The Warriors of Qiugang,2010-09-17,Thomas Lennon Films
The Confession,2010-06-12,National Film and Television School
Na Wewe,2010-04-25,Cut ! A Private View Radio Télévision Belge Francophone
Wish 143,2009-11-19,Swing and Shift Films Union Pictures
Day & Night,2010-06-18,Pixar Animation Studios
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
127 Hours,2010-09-04,Pathé
127 Hours,2010-09-04,Everest Entertainment
127 Hours,2010-09-04,Dune Entertainment
127 Hours,2010-09-04,Film4 Productions
127 Hours,2010-09-04,HandMade Films
127 Hours,2010-09-04,Cloud Eight Films
How to Train Your Dragon,2010-03-21,DreamWorks Animation
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
Toy Story 3,2010-06-12,Pixar Animation Studios
Country Strong,2010-11-08,Maguire Pictures
127 Hours,2010-09-04,Pathé
127 Hours,2010-09-04,Everest Entertainment
127 Hours,2010-09-04,Dune Entertainment
127 Hours,2010-09-04,Film4 Productions
127 Hours,2010-09-04,HandMade Films
127 Hours,2010-09-04,Cloud Eight Films
Tangled,2010-11-14,Walt Disney Animation Studios
Tangled,2010-11-14,Walt Disney Pictures
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
Toy Story 3,2010-06-12,Pixar Animation Studios
Tron: Legacy,2010-11-30,Walt Disney Pictures
Tron: Legacy,2010-11-30,Sean Bailey Productions
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
Unstoppable,2010-10-26,Dune Entertainment
Unstoppable,2010-10-26,Scott Free Productions
Unstoppable,2010-10-26,Prospect Park
Unstoppable,2010-10-26,Millbrook Farm Productions
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
Salt,2010-07-19,Columbia Pictures
Salt,2010-07-19,Di Bonaventura Pictures
Salt,2010-07-19,Relativity Media
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
Alice in Wonderland,2010-02-25,Walt Disney Pictures
Alice in Wonderland,2010-02-25,Roth Films
Alice in Wonderland,2010-02-25,The Zanuck Company
Alice in Wonderland,2010-02-25,Team Todd
Harry Potterand the Deathly Hallows – Part 1,2010-11-11,Warner Bros. Pictures
Harry Potterand the Deathly Hallows – Part 1,2010-11-11,Heyday Films
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
Black Swan,2010-09-01,Cross Creek Pictures
Black Swan,2010-09-01,Protozoa Pictures
Black Swan,2010-09-01,Phoenix Pictures
Black Swan,2010-09-01,Dune Entertainment
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
The Wolfman,2010-01-27,Universal Pictures
The Wolfman,2010-01-27,Relativity Media
The Wolfman,2010-01-27,Stuber Pictures
The Way Back,2010-09-03,National Geographic Films Spitfire Pictures Imagenation Abu Dhabi Film Fund Luxembourg Wrekin Hill Entertainment
Alice in Wonderland,2010-02-25,Walt Disney Pictures
Alice in Wonderland,2010-02-25,Roth Films
Alice in Wonderland,2010-02-25,The Zanuck Company
Alice in Wonderland,2010-02-25,Team Todd
I Am Love,2009-09-05,First Sun
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
The Tempest,2010-09-11,Touchstone Pictures Miramax Films Chartoff/Hendee Productions TalkStory Productions Artemis Films Mumbai Mantra Media Limited
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
