title,releasedate,budget,boxOffice,runtime,movieLanguage
The Miracle of Morgan's Creek,1944-02,"$775,000",$9 million,99,English
Two Girls and a Sailor,1944-06,$1.4 million,$4.5 million,124,English
"Wing and a Prayer, The Story of Carrier X",1944-07-24,,"$2,250,000",97,English
Going My Way,1944-05-03,,$6.5 million,126,English
Double Indemnity,1944-07-03,"$980,000",,107,English
Gaslight,1944-05-04,$2 million,$4.6 million,114,English
Laura,1944-10-11,$1.02 million,$2 million,88,English
Meet Me in St. Louis,1944-11-22,$1.9 million,$6.6 million  $12.9 million,113,English
Going My Way,1944-05-03,,$6.5 million,126,English
A Guy Named Joe,1943-12-23,"$2,627,000","$5,363,000",122,English
Lifeboat,1944-01-28,$1.59 million,$1 million,97,English
None Shall Escape,1944-02-03,,,86,English
The Fighting Sullivansa.k.a.The Sullivans,1944-02-03,,"2.429,684 admissions  $1 million",112,English
The Fighting Lady,1944-12-21,,"$900,000",61,English
Resisting Enemy Interrogation,1944-07,,,70,English
With the Marines at Tarawa,1944-03-02,,,18,English
Hymn of the Nations,1944-02,,,31,English
New Americans,1944,,,,English
Who's Who in Animal Land,1944-12-02,,,10,English
Jammin' the Blues,1944-11-09,,,10,English
I Won't Play,1944-11-11,,,18,English
Mouse Trouble,1944-11-23,,,7,English
Fish Fry,1944-06-19,,,6,English
How to Play Football,1944-09-15,,,7,English
Swooner Crooner,1944-05-06,,,7,English
Since You Went Away,1944-07-20,"$3,257,000",$7 million+,177,English
Address Unknown,1944-06-01,,,72,English
The Adventures of Mark Twain,1944-05-06,"$1,623,000","$2,350,000",130,English
The Bridge of San Luis Rey,1944-02-11,,"$900,000",107,English
Casanova Brown,1944-08-05,,,91,English
Christmas Holiday,1944-07-31,,over $2 million,93,English
Double Indemnity,1944-07-03,"$980,000",,107,English
The Fighting Seabees,1944-01-27,"$1.5 million or $720,000",$1.9 million or $3.5 million,100,English
The Hairy Ape,1944-07-02,,,92,English
It Happened Tomorrow,1944-03-27,"$800,000",,85,English
Jack London,1943-12-24,,"over $900,000",94,English
Kismet,1944-08-22,,,100,English
None But the Lonely Heart,1944-10-17,$1.3 million,,113,English
The Princess and the Pirate,1944-11-17,,"$3,500,000",94,English
Summer Storm,1944-07-14,,"$1,250,000",106,English
Three Russian Girls,1943-12-30,,,81,English
Up in Mabel's Room,1944-04-07,,over $1 million,76,English
Voice in the Wind,1944-03-03,,,85,English
Wilson,1944-08-01,$5.2 million,$3.103 million,154,English
The Woman of the Town,1943-12-31,,,90,English
Cover Girl,1944-03-20,,,107,English
Brazil,1944-11-30,,,91,English
Higher and Higher,1944-01-01,"$600,000",$2 million,90,English
Hollywood Canteen,1944-12-15,"$2,126,000","$4.2 million  or $5,452,000",124,English
Irish Eyes Are Smiling,1944-11-07,,"$2,250,000",90,English
Knickerbocker Holiday,1944-03-17,,,85,English
Lady in the Dark,1944-02-10,$2.6 million or $2.5 million,$4.3 million,100,English
"Lady, Let's Dance (1944)",1944-04-11,"$500,000",,88,English
Meet Me in St. Louis,1944-11-22,$1.9 million,$6.6 million  $12.9 million,113,English
The Merry Monahans,1944-09-15,,,91,English
Minstrel Man,1944-08-01,"~$200,000",,67,English
Sensations of 1945,1944-06-30,,,86,English
Song of the Open Road,1944-6,,,93,English
Up in Arms,1944-02-17,,"$4,715,000",106,English
Going My Way,1944-05-03,,$6.5 million,126,English
Higher and Higher,1944-01-01,"$600,000",$2 million,90,English
Follow the Boys,1944-04-25,,$2 million,122,English
Sweet and Low-Down,1944-09-21,,"$1,250,000",76,English
Cover Girl,1944-03-20,,,107,English
Up in Arms,1944-02-17,,"$4,715,000",106,English
Minstrel Man,1944-08-01,"~$200,000",,67,English
Brazil,1944-11-30,,,91,English
"Lady, Let's Dance (1944)",1944-04-11,"$500,000",,88,English
Hollywood Canteen,1944-12-15,"$2,126,000","$4.2 million  or $5,452,000",124,English
Song of the Open Road,1944-6,,,93,English
Meet Me in St. Louis,1944-11-22,$1.9 million,$6.6 million  $12.9 million,113,English
Wilson,1944-08-01,$5.2 million,$3.103 million,154,English
Brazil,1944-11-30,,,91,English
Casanova Brown,1944-08-05,,,91,English
Cover Girl,1944-03-20,,,107,English
Double Indemnity,1944-07-03,"$980,000",,107,English
His Butler's Sister,1943-11-26,,"$1.7 million  or $1,750,000",87,English
Hollywood Canteen,1944-12-15,"$2,126,000","$4.2 million  or $5,452,000",124,English
It Happened Tomorrow,1944-03-27,"$800,000",,85,English
Kismet,1944-08-22,,,100,English
Music in Manhattan,1944-10-06,,,81,English
Voice in the Wind,1944-03-03,,,85,English
Gaslight,1944-05-04,$2 million,$4.6 million,114,English
Address Unknown,1944-06-01,,,72,English
The Adventures of Mark Twain,1944-05-06,"$1,623,000","$2,350,000",130,English
Casanova Brown,1944-08-05,,,91,English
Laura,1944-10-11,$1.02 million,$2 million,88,English
No Time for Love,1943-1,,,83,English
Since You Went Away,1944-07-20,"$3,257,000",$7 million+,177,English
Step Lively,1944-07-26,,,88,English
Song of the Open Road,1944-6,,,93,English
Wilson,1944-08-01,$5.2 million,$3.103 million,154,English
The Climax,1944-10-20,"$750,000",,86,English
Cover Girl,1944-03-20,,,107,English
The Desert Song,1943-12-17,"$1,148,000","$4,595,000",90,English
Kismet,1944-08-22,,,100,English
Lady in the Dark,1944-02-10,$2.6 million or $2.5 million,$4.3 million,100,English
The Princess and the Pirate,1944-11-17,,"$3,500,000",94,English
Laura,1944-10-11,$1.02 million,$2 million,88,English
Double Indemnity,1944-07-03,"$980,000",,107,English
Dragon Seed,1944-07-20,$3 million,$4.6 million,147,English
Gaslight,1944-05-04,$2 million,$4.6 million,114,English
Going My Way,1944-05-03,,$6.5 million,126,English
Lifeboat,1944-01-28,$1.59 million,$1 million,97,English
Since You Went Away,1944-07-20,"$3,257,000",$7 million+,177,English
Thirty Seconds Over Tokyo,1944-11-15,$2.9 million,$6.2 million,138,English
The Uninvited,1944-02-10,,,98,English
The White Cliffs of Dover,1944-05-11,"$2,342,000","$4,045,000  $2,249,000",126,English
Wilson,1944-08-01,$5.2 million,$3.103 million,154,English
Cover Girl,1944-03-20,,,107,English
Home in Indiana,1944-06-15,,$1.75 million,103,English
Kismet,1944-08-22,,,100,English
Lady in the Dark,1944-02-10,$2.6 million or $2.5 million,$4.3 million,100,English
Meet Me in St. Louis,1944-11-22,$1.9 million,$6.6 million  $12.9 million,113,English
Wilson,1944-08-01,$5.2 million,$3.103 million,154,English
Going My Way,1944-05-03,,$6.5 million,126,English
Janie,1944-09-02,,,102,English
None But the Lonely Heart,1944-10-17,$1.3 million,,113,English
Since You Went Away,1944-07-20,"$3,257,000",$7 million+,177,English
Thirty Seconds Over Tokyo,1944-11-15,$2.9 million,$6.2 million,138,English
The Adventures of Mark Twain,1944-05-06,"$1,623,000","$2,350,000",130,English
Days of Glory,1944-06-08,"$958,000",,86,English
Secret Command,1944-07-30,,,82,English
Since You Went Away,1944-07-20,"$3,257,000",$7 million+,177,English
The Story of Dr. Wassell,1944-04-26,"$2,744,991","$6,222,192",140,English
Wilson,1944-08-01,$5.2 million,$3.103 million,154,English
Annie Hall,1977-03-27,$4 million,$44 million,93,English
The Goodbye Girl,1977-11-30,,$102 million,110,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Annie Hall,1977-03-27,$4 million,$44 million,93,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
The Turning Point,1977-11-14,,$33.6 million,119,English
The Goodbye Girl,1977-11-30,,$102 million,110,English
Annie Hall,1977-03-27,$4 million,$44 million,93,English
Equus,1977-10-14,$4 million,,137,English
A Special Day,1977-05-17,,,106,Italian
Saturday Night Fever,1977-12-16,$3.5 million,$237.1 million,119,English
Annie Hall,1977-03-27,$4 million,$44 million,93,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
The Turning Point,1977-11-14,,$33.6 million,119,English
The Goodbye Girl,1977-11-30,,$102 million,110,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Equus,1977-10-14,$4 million,,137,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
The Turning Point,1977-11-14,,$33.6 million,119,English
The Goodbye Girl,1977-11-30,,$102 million,110,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
Looking for Mr. Goodbar,1977-10-19,,$22.5 million,136,English
Annie Hall,1977-03-27,$4 million,$44 million,93,English
The Goodbye Girl,1977-11-30,,$102 million,110,English
The Late Show,1977-02-10,,,93,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
Equus,1977-10-14,$4 million,,137,English
I Never Promised You a Rose Garden,1977-07-14,$3 million,$3.2 million,96,English
"Oh, God!",1977-10-07,$2.1 million,$51 million,98,English
That Obscure Object of Desire,1977-08-17,,,102,French
Madame Rosa,1977-11-02,,$2.6 million,105,French
Iphigenia,1977-10-01,,,127,Greek
Operation Thunderbolt,1977-03-17,,,124,Hebrew
A Special Day,1977-05-17,,,106,Italian
That Obscure Object of Desire,1977-08-17,,,102,French
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977-12-05,,,72,English
The Children of Theatre Street,1977-05-09,,,90,English
High Grass Circus,1976,"$62,008",,57,English
Homage to Chagall: The Colours of Love,1977-06-19,,,88,English
Union Maids,1976-02-04,,,50,English
Gravity Is My Enemy,1977,,,26,English
"Agueda Martinez: Our People, Our Country",1977,,,16,English
First Edition,1977,,,30,English
"Of Time, Tombs and Treasures",1977,,,29,English
The Shetland Experience,1977,,,,English
I'll Find a Way,1977,,,26,English
The Absent-Minded Waiter,1977-07-13,,,7,English
The Sand Castle,1977-06-01,"$82,783 (equivalent to $387,060 in 2023).",,13,None
Bead Game,1977,,,6,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
The Message,1976-07-29,$17 million,$5 million,,Arabic
The Spy Who Loved Me,1977-07-07,$13.5 million,$185.4 million,125,English
A Little Night Music,1977-09-30,$6 million –$7.2 million,,119,English
Pete's Dragon,1977-11-03,$10 million,$36 –39.6 million,129,English
The Slipper and the RoseThe Story of Cinderella,1976-03-24,£ 2.15 million,,146,English
You Light Up My Life,1977-08-31,$1.2 million,$8.5 million,90,English
Pete's Dragon,1977-11-03,$10 million,$36 –39.6 million,129,English
The Spy Who Loved Me,1977-07-07,$13.5 million,$185.4 million,125,English
The Slipper and the RoseThe Story of Cinderella,1976-03-24,£ 2.15 million,,146,English
The Rescuers,1977-06-22,$7.5 million,$169 million,77,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
The Deep,1977-06-17,$9 million or $8.5 million,$100 million,124,English
Sorcerer,1977-06-24,$21–22 million,$5.9 million  $9 million,121,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
Airport '77,1977-03-11,$6 million,$91.1 million,113,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
A Little Night Music,1977-09-30,$6 million –$7.2 million,,119,English
The Other Side of Midnight,1977-06-08,$9 million,$24.7 million,165,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
Airport '77,1977-03-11,$6 million,$91.1 million,113,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
The Spy Who Loved Me,1977-07-07,$13.5 million,$185.4 million,125,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
Islands in the Stream,1977-03-09,,$8 million,105,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
Looking for Mr. Goodbar,1977-10-19,,$22.5 million,136,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
Julia,1977-10-02,$7.84 million,$20.7 million,118,English
Smokey and the Bandit,1977-05-19,$4.3 million,$127 million,96,English
The Turning Point,1977-11-14,,$33.6 million,119,English
Star Wars,1977-05-25,$11 million,$775.4 million,121,English
Close Encountersof the Third Kind,1977-11-16,$19.4 million,$306.9 million,135,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
Midnight Express,1978-05-18,$2.3 million,$35 million,121,English
An Unmarried Woman,1978-03-05,$2.5 million,$24 million,125,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
Interiors,1978-08-02,$3.1 million,$10.4 million,92,English
Midnight Express,1978-05-18,$2.3 million,$35 million,121,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
The Buddy Holly Story,1978-05-18,$1.2 million or $2 million,$14.3 million,114,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
The Boys from Brazil,1978-10-06,$12 million,"$19,000,000 $7,600,000",125,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Autumn Sonata,1978-10-08,,$2 million,99,Swedish
"Same Time, Next Year",1978-11-22,,$19.7 million,119,English
An Unmarried Woman,1978-03-05,$2.5 million,$24 million,125,English
Interiors,1978-08-02,$3.1 million,$10.4 million,92,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Comes a Horseman,1978-10-25,$10-12 million,"$9,585,769",118,English
Midnight Express,1978-05-18,$2.3 million,$35 million,121,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
California Suite,1978-12-22,,$42 million,103,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Interiors,1978-08-02,$3.1 million,$10.4 million,92,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Autumn Sonata,1978-10-08,,$2 million,99,Swedish
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
Interiors,1978-08-02,$3.1 million,$10.4 million,92,English
An Unmarried Woman,1978-03-05,$2.5 million,$24 million,125,English
Midnight Express,1978-05-18,$2.3 million,$35 million,121,English
Bloodbrothers,1978-10-06,$4 million,,116,English
California Suite,1978-12-22,,$42 million,103,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
"Same Time, Next Year",1978-11-22,,$19.7 million,119,English
Get Out Your Handkerchiefs,1978-01-11,,"$2,086,000",105,French
The Glass Cell,1978-04-06,,,93,German
Hungarians,1978-02-08,,,107,Hungarian
I nuovi mostri,1977-12-15,,,115,Italian
White Bim Black Ear,1977-09-15,,,183,Russian
Scared Straight!,1978-11-02,,,52,English
The Lovers' Wind,1978,,,71,French
Mysterious Castles of Clay,1978,,,,English
Raoni,1978,,,84,English
With Babies and Banners: Story of the Women's Emergency Brigade,1979,,,45,English
The Flight of the Gossamer Condor,1978,,,27,English
The Divided Trail: A Native American Odyssey,1978,,,33,English
An Encounter with Faces,1978,,,21,
Goodnight Miss Ann,1978,,,10,English
Squires of San Quentin,1978,,,30,English
Teenage Father,1978,,,25,English
A Different Approach,1978,,,21,English
Special Delivery,1978-11-06,"$35,065",,7,English
Midnight Express,1978-05-18,$2.3 million,$35 million,121,English
The Boys from Brazil,1978-10-06,$12 million,"$19,000,000 $7,600,000",125,English
Days of Heaven,1978-09-13,$3 million,$3.4 million,94,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
Superman,1978-12-10,$55 million,$300.5 million,143,English
The Buddy Holly Story,1978-05-18,$1.2 million or $2 million,$14.3 million,114,English
Pretty Baby,1978-04-05,$3million,$4.13 million,109,English
The Wiz,1978-10-24,$24 million,$21 million,133,English
Thank God It's Friday,1978-05-19,$2.2 million,$7.3 million,89,English
Grease,1978-06-16,$6 million,$396.3 million,110,English
"Same Time, Next Year",1978-11-22,,$19.7 million,119,English
Foul Play,1978-07-14,$5 million,$45 million,116,English
The Magic of Lassie,1978-08-02,$3 million,,100,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
The Buddy Holly Story,1978-05-18,$1.2 million or $2 million,$14.3 million,114,English
Days of Heaven,1978-09-13,$3 million,$3.4 million,94,English
Hooper,1978-07-14,$6 million,$78 million,99,English
Superman,1978-12-10,$55 million,$300.5 million,143,English
Death on the Nile,1978-09-29,$7.92 –8 million,$18 million,140,English
Caravans,1978-11-02,$10 million,$1.965 million,127,English
Days of Heaven,1978-09-13,$3 million,$3.4 million,94,English
The Swarm,1978-07-14,$11.5 million or $21 million,$7.7 million,116,English
The Wiz,1978-10-24,$24 million,$21 million,133,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
The Brink's Job,1978-12-08,$16.4 million,$14.5 million,104,English
California Suite,1978-12-22,,$42 million,103,English
Interiors,1978-08-02,$3.1 million,$10.4 million,92,English
The Wiz,1978-10-24,$24 million,$21 million,133,English
Days of Heaven,1978-09-13,$3 million,$3.4 million,94,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
Heaven Can Wait,1978-06-28,$6 million,$98.8 million,101,English
"Same Time, Next Year",1978-11-22,,$19.7 million,119,English
The Wiz,1978-10-24,$24 million,$21 million,133,English
The Deer Hunter,1978-12-08,$15 million,$49 million,184,English
The Boys from Brazil,1978-10-06,$12 million,"$19,000,000 $7,600,000",125,English
Coming Home,1978-02-15,$3 million,$32.7 million,128,English
Midnight Express,1978-05-18,$2.3 million,$35 million,121,English
Superman,1978-12-10,$55 million,$300.5 million,143,English
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
Breaking Away,1979-07-13,$2.3 million,$20 million,101,English
Norma Rae,1979-03-02,$4.5 million,$22 million,110,English
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
Breaking Away,1979-07-13,$2.3 million,$20 million,101,English
La Cage aux Folles,1978-10-20,$1.1 million,$20.4 million,91,French
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
The China Syndrome,1979-03-16,$5.9 million,$51.7 million,122,English
...And Justice for All,1979-09-15,$4 million,$33.3 million,119,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
Being There,1979-12-19,$7 million,$30.2 million,130,English
Norma Rae,1979-03-02,$4.5 million,$22 million,110,English
Starting Over,1979-10-05,$10 million,"$35,649,012",105,English
The China Syndrome,1979-03-16,$5.9 million,$51.7 million,122,English
Chapter Two,1979-12-14,$9-10 million,$30 million,124,English
The Rose,1979-11-07,$9.3 million,$29.2 million,134,English
Being There,1979-12-19,$7 million,$30.2 million,130,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
The Rose,1979-11-07,$9.3 million,$29.2 million,134,English
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
The Black Stallion,1979-10-17,$2.7 million,$37.8 million,118,English
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
Breaking Away,1979-07-13,$2.3 million,$20 million,101,English
Starting Over,1979-10-05,$10 million,"$35,649,012",105,English
Manhattan,1979-04-18,$9 million,$40.2 million,96,English
Breaking Away,1979-07-13,$2.3 million,$20 million,101,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
...And Justice for All,1979-09-15,$4 million,$33.3 million,119,English
The China Syndrome,1979-03-16,$5.9 million,$51.7 million,122,English
Manhattan,1979-04-18,$9 million,$40.2 million,96,English
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
La Cage aux Folles,1978-10-20,$1.1 million,$20.4 million,91,French
A Little Romance,1979-04-27,$3 million,,108,English
Norma Rae,1979-03-02,$4.5 million,$22 million,110,English
The Tin Drum,1979-05-03,$3 million,$13 million  $2 million or $4 million,142,German
The Maids of Wilko,1979-09-04,,,118,Polish
Mamá cumple 100 años,1979-09-17,,,100,Spanish
A Simple Story,1978-11-22,,,107,French
To forget Venice,1979-04-14,,,110,Italian
Best Boy,1979,,,110,
Generation on the Wind,1979,,,,English
Going the Distance,1979-05-23,"$840,000",,89,English
The Killing Ground,1979,,,50,English
The War at Home,1979,,,100,English
Paul Robeson: Tribute to an Artist,1979,,,30,English
Dae,1979,,,16,
Koryo Celadon,1979,,,,English
Nails,1979,,,13,English
Board and Care,1979,,,26,English
Bravery in the Field,1979,"$252,527",,29,English
The Solar Film,1979,"$402,699",,9,English
Every Child,1979-9,"$67,778",,6,English
A Little Romance,1979-04-27,$3 million,,108,English
10,1979-10-05,$5-6 million,$107 million,122,English
The Amityville Horror,1979-07-24,$4.7 million,$86.4 million,118,English
The Champ,1979-04-04,$8 million,$65 million,122,English
Star Trek: The Motion Picture,1979-12-07,$44 million,$139 million,132,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
Breaking Away,1979-07-13,$2.3 million,$20 million,101,English
The Muppet Movie,1979-05-31,$8 million,$65.2 million,97,English
Norma Rae,1979-03-02,$4.5 million,$22 million,110,English
The Promise,1979-03-08,,,97,
10,1979-10-05,$5-6 million,$107 million,122,English
The Muppet Movie,1979-05-31,$8 million,$65.2 million,97,English
Ice Castles,1978-12-31,,$9.5 million,110,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
1941,1979-12-13,$35 million,$94.9 million,118,English
The Electric Horseman,1979-12-21,$12.5 million,$61.8 million,121,English
Meteor,1979-10-19,$16 million or $15.4-17 million,$8.4 million  or $4.2 million,107,English
The Rose,1979-11-07,$9.3 million,$29.2 million,134,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
Agatha,1979-02-09,$3.5 million,$7.5 million,98,English
Butch and Sundance: The Early Days,1979-06-15,$9 million,"$5,136,913",111,English
The Europeans,1979-05,,"$1,220,000",90,English
La Cage aux Folles,1978-10-20,$1.1 million,$20.4 million,91,French
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
Alien,1979-05-25,$8.4–14 million,$188 million,116,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
The China Syndrome,1979-03-16,$5.9 million,$51.7 million,122,English
Star Trek: The Motion Picture,1979-12-07,$44 million,$139 million,132,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
1941,1979-12-13,$35 million,$94.9 million,118,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
The Black Hole,1979-12-18,$20 million,$35.8 million,98,English
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
All That Jazz,1979-12-20,$12 million,$37.8 million,123,English
Apocalypse Now,1979-05-19,$31.5 million,$104.8–150 million,147,English
The Black Stallion,1979-10-17,$2.7 million,$37.8 million,118,English
Kramer vs. Kramer,1979-12-19,$8 million,$173 million,105,English
The Rose,1979-11-07,$9.3 million,$29.2 million,134,English
Alien,1979-05-25,$8.4–14 million,$188 million,116,English
1941,1979-12-13,$35 million,$94.9 million,118,English
The Black Hole,1979-12-18,$20 million,$35.8 million,98,English
Moonraker,1979-06-26,$34 million,$210.3 million,126,English
Star Trek: The Motion Picture,1979-12-07,$44 million,$139 million,132,English
Ordinary People,1980-09-19,$6.2 million,$90 million,124,English
Coal Miner's Daughter,1980-03-07,$15 million (equivalent to $46.6 million in 2023),$67.18 million,124,English
The Elephant Man,1980-10-03,$5 million,$26 million,123,English
Raging Bull,1980-11-14,$18 million,$23.4 million,129,English
Tess,1979-10-31,$12 million ( est. ),$20.1 million,172,English
Ordinary People,1980-09-19,$6.2 million,$90 million,124,English
The Elephant Man,1980-10-03,$5 million,$26 million,123,English
Raging Bull,1980-11-14,$18 million,$23.4 million,129,English
The Stunt Man,1980-06-27,$3.5 million,"$7,068,886",131,English
Tess,1979-10-31,$12 million ( est. ),$20.1 million,172,English
Raging Bull,1980-11-14,$18 million,$23.4 million,129,English
The Great Santini,1979-10-26,$4 million,$4.7 million,115,English
The Elephant Man,1980-10-03,$5 million,$26 million,123,English
Tribute,1980-12-15,$8 million,$4 million,121,English
The Stunt Man,1980-06-27,$3.5 million,"$7,068,886",131,English
Coal Miner's Daughter,1980-03-07,$15 million (equivalent to $46.6 million in 2023),$67.18 million,124,English
Resurrection,1980-09-26,$6 million,"$3,910,019",103,English
Private Benjamin,1980-10-10,$9.2 million,$69.8 million,109,
Ordinary People,1980-09-19,$6.2 million,$90 million,124,English
Gloria,1980-10-01,$4 million,$4.9 million,122,English
Ordinary People,1980-09-19,$6.2 million,$90 million,124,English
The Great Santini,1979-10-26,$4 million,$4.7 million,115,English
Raging Bull,1980-11-14,$18 million,$23.4 million,129,English
Melvin and Howard,1980-09-19,$7 million,$4.3 million,95,English
Melvin and Howard,1980-09-19,$7 million,$4.3 million,95,English
Private Benjamin,1980-10-10,$9.2 million,$69.8 million,109,
Resurrection,1980-09-26,$6 million,"$3,910,019",103,English
Raging Bull,1980-11-14,$18 million,$23.4 million,129,English
Inside Moves,1980-12-19,,$1.2 million,113,English
Melvin and Howard,1980-09-19,$7 million,$4.3 million,95,English
Brubaker,1980-06-20,$9 million or $13 million,"$37,121,708",131,English
Fame,1980-05-12,$8.5 million,$42 million,133,English
My American Uncle,1980-05-21,,$1 million,126,French
Private Benjamin,1980-10-10,$9.2 million,$69.8 million,109,
Ordinary People,1980-09-19,$6.2 million,$90 million,124,English
Breaker Morant,1980-03-15,"A$800,000",$4.7 million  $3.5 million,107,English
Coal Miner's Daughter,1980-03-07,$15 million (equivalent to $46.6 million in 2023),$67.18 million,124,English
The Elephant Man,1980-10-03,$5 million,$26 million,123,English
The Stunt Man,1980-06-27,$3.5 million,"$7,068,886",131,English
Moscow Does Not Believe In Tears,1980-02-11,,,148,Russian
Confidence,1980-01-10,,,105,Hungarian
Kagemusha,1980-04-26,¥ 2.3 billion ( $ 11 million ) or $7.5 million or $6 million,$33 million,180,Japanese
The Last Metro,1980-09-17,,"$23.3 million 3,393,694 admissions",131,French
El Nido,1980-09-18,,,97,Spanish
From Mao to Mozart: Isaac Stern in China,1979,,"$1,205,934",84,English
Agee,1980-11-14,,,98,English
The Day After Trinity,1981-01-20,,,88,English
Front Line,1979,,,54,English
The Yellow Star: The Persecution of the Jews in Europe 1933–45,1980,,,89,German
Karl Hess: Toward Liberty,1980-10,,,26,English
Don't Mess with Bill,1980,,,11,English
The Eruption of Mount St. Helens!,1980,,,25,English
It's the Same World,1980,,,20,English
Luther Metke at 94,1979,,,27,English
The Dollar Bottom,1981,,,33,English
Fall Line,1980,,,12,English
All Nothing,1978,,,11,
History of the World in Three Minutes Flat,1980,,,3,English
Fame,1980-05-12,$8.5 million,$42 million,133,English
Altered States,1980-12-25,$15.0 million,$19.9 million,103,English
The Elephant Man,1980-10-03,$5 million,$26 million,123,English
